Date,Close/Last,Volume,,,
9/21/2022,$163.30 ,6639783,,,
9/20/2022,$166.06 ,5220240,,,
9/19/2022,$166.25 ,4929516,,,
9/16/2022,$165.26 ,13417760,,,
9/15/2022,$162.67 ,6105394,,,
9/14/2022,$165.26 ,4792610,,,
9/13/2022,$162.65 ,7928670,,,
9/12/2022,$170.58 ,5216774,,,
9/9/2022,$170.74 ,5196193,,,
9/8/2022,$168.41 ,5473412,,,
9/7/2022,$165.82 ,5332392,,,
9/6/2022,$163.10 ,5057183,,,
9/2/2022,$163.00 ,4466254,,,
9/1/2022,$166.16 ,5593828,,,
8/31/2022,$165.21 ,6489879,,,
8/30/2022,$166.74 ,5343296,,,
8/29/2022,$167.94 ,4625846,,,
8/26/2022,$169.49 ,6583677,,,
8/25/2022,$177.31 ,4349986,,,
8/24/2022,$172.19 ,3037795,,,
8/23/2022,$172.52 ,3663937,,,
8/22/2022,$171.44 ,4919101,,,
8/19/2022,$176.45 ,4569509,,,
8/18/2022,$178.46 ,4390566,,,
8/17/2022,$176.71 ,6869009,,,
8/16/2022,$183.36 ,4541563,,,
8/15/2022,$185.40 ,2863352,,,
8/12/2022,$185.38 ,4161276,,,
8/11/2022,$182.06 ,3858267,,,
8/10/2022,$183.12 ,4276503,,,
8/9/2022,$177.71 ,5306376,,,
8/8/2022,$182.80 ,3547326,,,
8/5/2022,$184.30 ,3690099,,,
8/4/2022,$184.91 ,4533896,,,
8/3/2022,$183.47 ,6201346,,,
8/2/2022,$177.22 ,4442669,,,
8/1/2022,$178.80 ,4865741,,,
7/29/2022,$178.89 ,6623999,,,
7/28/2022,$175.75 ,6468810,,,
7/27/2022,$171.54 ,11623120,,,
7/26/2022,$160.84 ,6080565,,,
7/25/2022,$163.20 ,4201410,,,
7/22/2022,$163.90 ,5269888,,,
7/21/2022,$166.54 ,5466760,,,
7/20/2022,$165.33 ,5889233,,,
7/19/2022,$164.64 ,5390809,,,
7/18/2022,$159.67 ,4088684,,,
7/15/2022,$160.54 ,7466135,,,
7/14/2022,$157.85 ,4758822,,,
7/13/2022,$154.29 ,3755644,,,
7/12/2022,$154.46 ,4085077,,,
7/11/2022,$153.56 ,4057877,,,
7/8/2022,$155.53 ,3467501,,,
7/7/2022,$154.69 ,5169441,,,
7/6/2022,$150.81 ,5238201,,,
7/5/2022,$149.10 ,8486458,,,
7/1/2022,$148.54 ,8740209,,,
6/30/2022,$153.65 ,6807948,,,
6/29/2022,$152.78 ,4348314,,,
6/28/2022,$154.16 ,4687615,,,
6/27/2022,$155.62 ,5762374,,,
6/24/2022,$155.95 ,6425872,,,
6/23/2022,$151.14 ,4318203,,,
6/22/2022,$152.60 ,4242955,,,
6/21/2022,$153.46 ,6283095,,,
6/17/2022,$150.20 ,11262460,,,
6/16/2022,$151.37 ,6843681,,,
6/15/2022,$155.92 ,5442107,,,
6/14/2022,$154.08 ,4772644,,,
6/13/2022,$153.53 ,7765182,,,
6/10/2022,$157.78 ,6510987,,,
6/9/2022,$161.58 ,5353309,,,
6/8/2022,$165.37 ,5112786,,,
6/7/2022,$169.85 ,4416228,,,
6/6/2022,$167.76 ,5603762,,,
6/3/2022,$172.33 ,4485724,,,
6/2/2022,$176.72 ,6521632,,,
6/1/2022,$174.42 ,4681603,,,
5/31/2022,$176.76 ,9408016,,,
5/27/2022,$177.97 ,5857983,,,
5/26/2022,$174.13 ,4536813,,,
5/25/2022,$170.01 ,4712101,,,
5/24/2022,$167.86 ,5121676,,,
5/23/2022,$169.93 ,5384135,,,
5/20/2022,$169.81 ,6278490,,,
5/19/2022,$167.62 ,5399653,,,
5/18/2022,$170.30 ,5747202,,,
5/17/2022,$174.98 ,5851345,,,
5/16/2022,$168.50 ,3648952,,,
5/13/2022,$169.74 ,5329874,,,
5/12/2022,$165.90 ,5936179,,,
5/11/2022,$164.69 ,5892769,,,
5/10/2022,$168.24 ,7033254,,,
5/9/2022,$164.94 ,7929929,,,
5/6/2022,$167.45 ,5724984,,,
5/5/2022,$170.28 ,7740442,,,
5/4/2022,$176.23 ,10311500,,,
